DateTime,Event,Impact,Actual,Forecast,Previous
2021-05-12T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.9%,0.3%,0.3%
2021-05-14T00:00:00+04:30,Retail Sales m/m,High Impact Expected,0.0%,1.0%,10.7%
2021-05-14T17:02:00+04:30,Core Retail Sales m/m,High Impact Expected,-0.8%,0.5%,9.0%
2021-05-27T17:00:00+04:30,Prelim GDP q/q,High Impact Expected,6.4%,6.5%,6.4%
2021-06-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,61.2,60.8,60.7
2021-06-03T18:30:00+04:30,ISM Services PMI,High Impact Expected,64.0,63.0,62.7
2021-06-04T00:00:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-06-04T00:00:00+04:30,Unemployment Rate,High Impact Expected,5.8%,5.9%,6.1%
2021-06-04T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.5%,0.2%,0.7%
2021-06-04T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,559K,645K,278K
2021-06-10T00:00:00+04:30,CPI m/m,High Impact Expected,0.6%,0.4%,0.8%
2021-06-10T00:00:00+04:30,Core CPI m/m,High Impact Expected,0.7%,0.5%,0.9%
2021-06-10T00:00:00+04:30,CPI y/y,High Impact Expected,5.0%,4.7%,4.2%
2021-06-15T00:00:00+04:30,Retail Sales m/m,High Impact Expected,-1.3%,-0.6%,0.9%
2021-06-15T00:00:00+04:30,PPI m/m,High Impact Expected,0.8%,0.5%,0.6%
2021-06-15T17:00:00+04:30,Core Retail Sales m/m,High Impact Expected,-0.7%,0.4%,0.0%
2021-06-16T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2021-06-16T18:30:00+04:30,Treasury Sec Yellen Speaks,High Impact Expected,,,
2021-06-16T22:30:00+04:30,FOMC Economic Projections,High Impact Expected,,,
2021-06-16T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2021-06-22T22:30:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-06-23T00:00:00+04:30,Flash Services PMI,High Impact Expected,64.8,70.0,70.4
2021-06-23T18:15:00+04:30,Flash Manufacturing PMI,High Impact Expected,62.6,61.5,62.1
2021-07-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,60.6,61.0,61.2
2021-07-02T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.3%,0.4%
2021-07-02T00:00:00+04:30,Unemployment Rate,High Impact Expected,5.9%,5.6%,5.8%
2021-07-02T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,850K,725K,583K
2021-07-06T18:30:00+04:30,ISM Services PMI,High Impact Expected,60.1,63.4,64.0
2021-07-07T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-07-13T00:00:00+04:30,CPI m/m,High Impact Expected,0.9%,0.5%,0.6%
2021-07-13T00:00:00+04:30,CPI y/y,High Impact Expected,5.4%,4.9%,5.0%
2021-07-13T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.9%,0.4%,0.7%
2021-07-14T00:00:00+04:30,PPI m/m,High Impact Expected,1.0%,0.6%,0.8%
2021-07-14T20:30:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-07-15T00:00:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-07-16T00:00:00+04:30,Retail Sales m/m,High Impact Expected,0.6%,-0.4%,-1.7%
2021-07-16T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,1.3%,0.4%,-0.9%
2021-07-27T18:30:00+04:30,CB Consumer Confidence,High Impact Expected,129.1,123.9,128.9
2021-07-28T22:30:00+04:30,FOMC Statement,High Impact Expected,,,
2021-07-28T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2021-07-29T17:00:00+04:30,Advance GDP q/q,High Impact Expected,6.5%,8.5%,6.4%
2021-07-30T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.4%,0.6%,0.5%
2021-08-02T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,59.5,60.8,60.6
2021-08-04T16:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,330K,695K,680K
2021-08-04T18:30:00+04:30,ISM Services PMI,High Impact Expected,64.1,60.5,60.1
2021-08-06T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,943K,870K,938K
2021-08-06T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.4%,0.3%,0.4%
2021-08-06T00:00:00+04:30,Unemployment Rate,High Impact Expected,5.4%,5.7%,5.9%
2021-08-11T00:00:00+04:30,CPI m/m,High Impact Expected,0.5%,0.5%,0.9%
2021-08-11T00:00:00+04:30,CPI y/y,High Impact Expected,5.4%,5.3%,5.4%
2021-08-11T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.3%,0.4%,0.9%
2021-08-12T17:00:00+04:30,PPI m/m,High Impact Expected,1.0%,0.6%,1.0%
2021-08-17T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,-0.4%,0.2%,1.6%
2021-08-17T00:00:00+04:30,Retail Sales m/m,High Impact Expected,-1.1%,-0.2%,0.7%
2021-08-17T22:00:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-08-18T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-08-26T17:00:00+04:30,Prelim GDP q/q,High Impact Expected,6.6%,6.7%,6.5%
2021-08-27T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.3%,0.5%
2021-08-27T18:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-09-01T16:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,374K,640K,326K
2021-09-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,59.9,58.5,59.5
2021-09-03T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.3%,0.4%
2021-09-03T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,235K,720K,1053K
2021-09-03T00:00:00+04:30,Unemployment Rate,High Impact Expected,5.2%,5.2%,5.4%
2021-09-03T18:30:00+04:30,ISM Services PMI,High Impact Expected,61.7,61.9,64.1
2021-09-10T00:00:00+04:30,PPI m/m,High Impact Expected,0.7%,0.6%,1.0%
2021-09-14T00:00:00+04:30,CPI y/y,High Impact Expected,5.3%,5.3%,5.4%
2021-09-14T00:00:00+04:30,CPI m/m,High Impact Expected,0.3%,0.4%,0.5%
2021-09-14T00:00:00+04:30,Core CPI m/m,High Impact Expected,0.1%,0.3%,0.3%
2021-09-16T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,1.8%,-0.1%,-1.0%
2021-09-16T00:00:00+04:30,Retail Sales m/m,High Impact Expected,0.7%,-0.7%,-1.8%
2021-09-22T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2021-09-22T21:30:00+03:30,FOMC Economic Projections,High Impact Expected,,,
2021-09-22T22:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2021-09-24T17:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-09-28T17:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-09-29T00:00:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-09-30T17:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-10-01T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.2%,0.3%
2021-10-01T17:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,61.1,59.6,59.9
2021-10-05T17:30:00+03:30,ISM Services PMI,High Impact Expected,61.9,59.9,61.7
2021-10-06T15:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,568K,425K,340K
2021-10-08T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.4%,0.4%
2021-10-08T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,194K,490K,366K
2021-10-08T00:00:00+03:30,Unemployment Rate,High Impact Expected,4.8%,5.1%,5.2%
2021-10-13T00:00:00+03:30,CPI y/y,High Impact Expected,5.4%,5.3%,5.3%
2021-10-13T00:00:00+03:30,CPI m/m,High Impact Expected,0.4%,0.3%,0.3%
2021-10-13T16:00:00+03:30,Core CPI m/m,High Impact Expected,0.2%,0.2%,0.1%
2021-10-13T21:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-10-14T00:00:00+03:30,PPI m/m,High Impact Expected,0.5%,0.6%,0.7%
2021-10-15T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,0.8%,0.5%,2.0%
2021-10-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,0.7%,-0.2%,0.9%
2021-10-22T18:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-10-28T00:00:00+03:30,Advance GDP q/q,High Impact Expected,2.0%,2.6%,6.7%
2021-10-29T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.2%,0.2%,0.3%
2021-11-01T17:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,60.8,60.4,61.1
2021-11-03T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2021-11-03T15:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,571K,400K,523K
2021-11-03T17:30:00+03:30,ISM Services PMI,High Impact Expected,66.7,61.9,61.9
2021-11-03T21:30:00+03:30,Federal Funds Rate,High Impact Expected,<0.25%,<0.25%,<0.25%
2021-11-03T22:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2021-11-05T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.4%,0.4%,0.6%
2021-11-05T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,531K,455K,312K
2021-11-05T00:00:00+03:30,Unemployment Rate,High Impact Expected,4.6%,4.7%,4.8%
2021-11-08T19:00:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-11-09T17:00:00+03:30,PPI m/m,High Impact Expected,0.6%,0.6%,0.5%
2021-11-09T17:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-11-10T00:00:00+03:30,Core CPI m/m,High Impact Expected,0.6%,0.4%,0.2%
2021-11-10T00:00:00+03:30,CPI y/y,High Impact Expected,6.2%,5.9%,5.4%
2021-11-10T00:00:00+03:30,CPI m/m,High Impact Expected,0.9%,0.6%,0.4%
2021-11-16T00:00:00+03:30,Retail Sales m/m,High Impact Expected,1.7%,1.3%,0.8%
2021-11-16T17:00:00+03:30,Core Retail Sales m/m,High Impact Expected,1.7%,1.0%,0.7%
2021-11-24T17:00:00+03:30,Prelim GDP q/q,High Impact Expected,2.1%,2.2%,2.0%
2021-11-24T18:30:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.4%,0.4%,0.2%
2021-11-24T22:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-11-30T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-12-01T00:00:00+03:30,ISM Manufacturing PMI,High Impact Expected,61.1,61.3,60.8
2021-12-01T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,534K,525K,570K
2021-12-01T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-12-03T00:00:00+03:30,Unemployment Rate,High Impact Expected,4.2%,4.5%,4.6%
2021-12-03T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,210K,553K,546K
2021-12-03T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.4%,0.4%
2021-12-03T17:30:00+03:30,Treasury Currency Report,High Impact Expected,,,
2021-12-03T18:30:00+03:30,ISM Services PMI,High Impact Expected,69.1,64.9,66.7
2021-12-08T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,11.03M,10.45M,10.60M
2021-12-10T00:00:00+03:30,Core CPI m/m,High Impact Expected,0.5%,0.5%,0.6%
2021-12-10T00:00:00+03:30,CPI y/y,High Impact Expected,6.8%,6.8%,6.2%
2021-12-10T00:00:00+03:30,CPI m/m,High Impact Expected,0.8%,0.7%,0.9%
2021-12-14T17:00:00+03:30,PPI m/m,High Impact Expected,0.8%,0.5%,0.6%
2021-12-15T00:00:00+03:30,FOMC Economic Projections,High Impact Expected,,,
