DateTime,Event,Impact,Actual,Forecast,Previous
2022-05-17T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,0.6%,0.4%,2.1%
2022-05-17T22:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-05-25T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-05-26T00:00:00+04:30,Prelim GDP q/q,High Impact Expected,-1.5%,-1.3%,-1.4%
2022-05-27T17:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.3%,0.3%
2022-06-01T00:00:00+04:30,JOLTS Job Openings,High Impact Expected,11.40M,11.29M,11.86M
2022-06-01T00:00:00+04:30,ISM Manufacturing PMI,High Impact Expected,56.1,54.4,55.4
2022-06-02T16:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,128K,295K,202K
2022-06-03T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,390K,325K,436K
2022-06-03T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.6%,3.5%,3.6%
2022-06-03T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.4%,0.3%
2022-06-10T00:00:00+04:30,Core CPI m/m,High Impact Expected,0.6%,0.5%,0.6%
2022-06-10T00:00:00+04:30,CPI m/m,High Impact Expected,1.0%,0.7%,0.3%
2022-06-10T00:00:00+04:30,CPI y/y,High Impact Expected,8.6%,8.3%,8.3%
2022-06-10T17:30:00+04:30,Treasury Currency Report,High Impact Expected,,,
2022-06-14T00:00:00+04:30,PPI m/m,High Impact Expected,0.8%,0.8%,0.5%
2022-06-15T00:00:00+04:30,FOMC Economic Projections,High Impact Expected,,,
2022-06-15T00:00:00+04:30,Retail Sales m/m,High Impact Expected,-0.3%,0.1%,0.7%
2022-06-15T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2022-06-15T17:00:00+04:30,Core Retail Sales m/m,High Impact Expected,0.5%,0.7%,0.4%
2022-06-15T22:30:00+04:30,Federal Funds Rate,High Impact Expected,1.75%,1.50%,1.00%
2022-06-15T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2022-06-17T17:15:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-06-22T18:00:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2022-06-23T18:30:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2022-06-28T18:30:00+04:30,CB Consumer Confidence,High Impact Expected,98.7,100.0,103.2
2022-06-29T00:00:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-06-30T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.4%,0.3%
2022-07-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,53.0,54.6,56.1
2022-07-06T18:30:00+04:30,JOLTS Job Openings,High Impact Expected,11.25M,11.05M,11.68M
2022-07-06T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-07-08T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,372K,260K,384K
2022-07-08T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.6%,3.6%,3.6%
2022-07-08T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.3%,0.4%
2022-07-13T00:00:00+04:30,CPI m/m,High Impact Expected,1.3%,1.1%,1.0%
2022-07-13T00:00:00+04:30,CPI y/y,High Impact Expected,9.1%,8.7%,8.6%
2022-07-13T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.7%,0.5%,0.6%
2022-07-14T00:00:00+04:30,PPI m/m,High Impact Expected,1.1%,0.8%,0.8%
2022-07-15T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,1.0%,0.7%,0.6%
2022-07-15T00:00:00+04:30,Retail Sales m/m,High Impact Expected,1.0%,0.9%,-0.1%
2022-07-15T18:30:00+04:30,Prelim UoM Consumer Sentiment,High Impact Expected,51.1,49.0,50.0
2022-07-22T18:15:00+04:30,Flash Services PMI,High Impact Expected,47.0,52.6,52.7
2022-07-26T18:30:00+04:30,CB Consumer Confidence,High Impact Expected,95.7,97.3,98.4
2022-07-27T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2022-07-27T22:30:00+04:30,Federal Funds Rate,High Impact Expected,2.50%,2.50%,1.75%
2022-07-27T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2022-07-28T17:00:00+04:30,Advance GDP q/q,High Impact Expected,-0.9%,0.4%,-1.6%
2022-07-29T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.6%,0.5%,0.3%
2022-08-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,52.8,52.3,53.0
2022-08-02T18:30:00+04:30,JOLTS Job Openings,High Impact Expected,10.70M,10.99M,11.30M
2022-08-03T18:30:00+04:30,ISM Services PMI,High Impact Expected,56.7,53.5,55.3
2022-08-05T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.5%,0.3%,0.4%
2022-08-05T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.5%,3.6%,3.6%
2022-08-05T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,528K,250K,398K
2022-08-10T00:00:00+04:30,CPI m/m,High Impact Expected,0.0%,0.2%,1.3%
2022-08-10T00:00:00+04:30,CPI y/y,High Impact Expected,8.5%,8.7%,9.1%
2022-08-10T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.3%,0.5%,0.7%
2022-08-11T17:00:00+04:30,PPI m/m,High Impact Expected,-0.5%,0.2%,1.1%
2022-08-12T18:30:00+04:30,Prelim UoM Consumer Sentiment,High Impact Expected,55.1,52.5,51.5
2022-08-17T00:00:00+04:30,Retail Sales m/m,High Impact Expected,0.0%,0.1%,0.8%
2022-08-17T17:00:00+04:30,Core Retail Sales m/m,High Impact Expected,0.4%,-0.1%,0.9%
2022-08-17T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-08-18T00:00:00+04:30,Philly Fed Manufacturing Index,High Impact Expected,6.2,-4.9,-12.3
2022-08-23T18:15:00+04:30,Flash Services PMI,High Impact Expected,44.1,49.8,47.3
2022-08-25T17:00:00+04:30,Prelim GDP q/q,High Impact Expected,-0.6%,-0.7%,-0.9%
2022-08-26T17:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.1%,0.2%,0.6%
2022-08-26T18:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-08-30T00:00:00+04:30,JOLTS Job Openings,High Impact Expected,11.24M,10.37M,11.04M
2022-08-30T18:30:00+04:30,CB Consumer Confidence,High Impact Expected,103.2,97.6,95.3
2022-08-31T16:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,132K,300K,128K
2022-09-01T18:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,52.8,52.1,52.8
2022-09-02T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.7%,3.5%,3.5%
2022-09-02T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,315K,295K,526K
2022-09-02T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.4%,0.5%
2022-09-06T18:30:00+04:30,ISM Services PMI,High Impact Expected,56.9,55.4,56.7
2022-09-08T17:40:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-09-13T00:00:00+04:30,CPI m/m,High Impact Expected,0.1%,-0.1%,0.0%
2022-09-13T00:00:00+04:30,CPI y/y,High Impact Expected,8.3%,8.1%,8.5%
2022-09-13T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.6%,0.3%,0.3%
2022-09-14T00:00:00+04:30,PPI m/m,High Impact Expected,-0.1%,-0.1%,-0.5%
2022-09-15T00:00:00+04:30,Empire State Manufacturing Index,High Impact Expected,-1.5,-12.7,-31.3
2022-09-15T00:00:00+04:30,Retail Sales m/m,High Impact Expected,0.3%,-0.1%,-0.4%
2022-09-15T17:00:00+04:30,Core Retail Sales m/m,High Impact Expected,-0.3%,0.0%,0.0%
2022-09-16T18:30:00+04:30,Prelim UoM Consumer Sentiment,High Impact Expected,59.5,60.0,58.2
2022-09-21T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2022-09-21T00:00:00+04:30,FOMC Economic Projections,High Impact Expected,,,
2022-09-21T22:30:00+04:30,Federal Funds Rate,High Impact Expected,3.25%,3.25%,2.50%
2022-09-21T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2022-09-23T17:15:00+03:30,Flash Services PMI,High Impact Expected,49.2,45.5,43.7
2022-09-23T21:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-09-27T00:00:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-09-27T17:30:00+03:30,CB Consumer Confidence,High Impact Expected,108.0,104.0,103.6
2022-09-30T16:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.6%,0.5%,0.0%
2022-10-03T17:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,50.9,52.5,52.8
2022-10-03T22:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-10-04T17:30:00+03:30,JOLTS Job Openings,High Impact Expected,10.05M,11.07M,11.17M
2022-10-05T15:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,208K,200K,185K
2022-10-05T17:30:00+03:30,ISM Services PMI,High Impact Expected,56.7,56.0,56.9
2022-10-07T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.3%,0.3%
2022-10-07T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,263K,248K,315K
2022-10-07T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.5%,3.7%,3.7%
2022-10-12T16:00:00+03:30,PPI m/m,High Impact Expected,0.4%,0.2%,-0.2%
2022-10-12T21:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-10-13T00:00:00+03:30,CPI m/m,High Impact Expected,0.4%,0.2%,0.1%
2022-10-13T00:00:00+03:30,CPI y/y,High Impact Expected,8.2%,8.1%,8.3%
2022-10-13T16:00:00+03:30,Core CPI m/m,High Impact Expected,0.6%,0.4%,0.6%
2022-10-14T00:00:00+03:30,Retail Sales m/m,High Impact Expected,0.0%,0.2%,0.4%
2022-10-14T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,0.1%,-0.1%,-0.1%
2022-10-14T17:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,59.8,58.7,58.6
2022-10-17T16:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,-9.1,-4.3,-1.5
2022-10-20T16:00:00+03:30,Philly Fed Manufacturing Index,High Impact Expected,-8.7,-5.0,-9.9
2022-10-24T17:15:00+03:30,Flash Services PMI,High Impact Expected,46.6,49.6,49.3
2022-10-25T17:30:00+03:30,CB Consumer Confidence,High Impact Expected,102.5,105.9,107.8
2022-10-27T16:00:00+03:30,Advance GDP q/q,High Impact Expected,2.6%,2.3%,-0.6%
2022-10-28T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.5%,0.5%,0.5%
2022-11-01T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,10.72M,9.75M,10.28M
2022-11-01T17:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,50.2,50.0,50.9
2022-11-02T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2022-11-02T00:00:00+03:30,Federal Funds Rate,High Impact Expected,4.00%,4.00%,3.25%
2022-11-02T15:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,239K,178K,192K
2022-11-02T22:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2022-11-03T17:30:00+03:30,ISM Services PMI,High Impact Expected,54.4,55.5,56.7
2022-11-04T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.4%,0.3%,0.3%
2022-11-04T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.7%,3.6%,3.5%
2022-11-04T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,261K,197K,315K
2022-11-08T23:59:59+03:30,Congressional Elections,High Impact Expected,,,
2022-11-10T00:00:00+03:30,CPI m/m,High Impact Expected,0.4%,0.6%,0.4%
2022-11-10T00:00:00+03:30,CPI y/y,High Impact Expected,7.7%,7.9%,8.2%
2022-11-10T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.3%,0.5%,0.6%
2022-11-10T17:30:00+03:30,Treasury Currency Report,High Impact Expected,,,
2022-11-11T18:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,54.7,59.5,59.9
2022-11-15T00:00:00+03:30,PPI m/m,High Impact Expected,0.2%,0.4%,0.2%
2022-11-15T00:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,4.5,-6.1,-9.1
2022-11-16T00:00:00+03:30,Retail Sales m/m,High Impact Expected,1.3%,1.0%,0.0%
2022-11-16T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,1.3%,0.5%,0.1%
2022-11-17T17:00:00+03:30,Philly Fed Manufacturing Index,High Impact Expected,-19.4,-6.0,-8.7
2022-11-23T00:00:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-11-23T18:15:00+03:30,Flash Services PMI,High Impact Expected,46.1,48.0,47.8
2022-11-29T00:00:00+03:30,CB Consumer Confidence,High Impact Expected,100.2,100.0,102.2
2022-11-30T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,127K,196K,239K
2022-11-30T17:00:00+03:30,Prelim GDP q/q,High Impact Expected,2.9%,2.8%,2.6%
2022-11-30T18:30:00+03:30,JOLTS Job Openings,High Impact Expected,10.33M,10.24M,10.69M
2022-11-30T22:00:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2022-12-01T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.2%,0.3%,0.5%
2022-12-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,49.0,49.7,50.2
2022-12-02T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.7%,3.7%,3.7%
2022-12-02T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,263K,200K,284K
2022-12-02T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.3%,0.5%
2022-12-05T18:30:00+03:30,ISM Services PMI,High Impact Expected,56.5,53.5,54.4
2022-12-09T00:00:00+03:30,Core PPI m/m,High Impact Expected,0.4%,0.2%,0.1%
2022-12-09T00:00:00+03:30,PPI m/m,High Impact Expected,0.3%,0.2%,0.3%
2022-12-09T18:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,59.1,56.9,56.8
2022-12-13T00:00:00+03:30,CPI y/y,High Impact Expected,7.1%,7.3%,7.7%
2022-12-13T00:00:00+03:30,CPI m/m,High Impact Expected,0.1%,0.3%,0.4%
2022-12-13T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.2%,0.3%,0.3%
2022-12-14T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2022-12-14T00:00:00+03:30,FOMC Economic Projections,High Impact Expected,,,
2022-12-14T22:30:00+03:30,Federal Funds Rate,High Impact Expected,4.50%,4.50%,4.00%
2022-12-14T23:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2022-12-15T00:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,-11.2,-1.1,4.5
2022-12-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-0.6%,-0.2%,1.3%
2022-12-15T17:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-0.2%,0.2%,1.2%
2022-12-16T18:15:00+03:30,Flash Services PMI,High Impact Expected,44.4,46.5,46.2
2022-12-21T18:30:00+03:30,CB Consumer Confidence,High Impact Expected,108.3,101.0,101.4
2022-12-23T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.2%,0.2%,0.3%
2023-01-04T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,10.46M,10.04M,10.51M
2023-01-04T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,48.4,48.5,49.0
2023-01-04T22:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2023-01-05T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,235K,152K,182K
2023-01-06T00:00:00+03:30,ISM Services PMI,High Impact Expected,49.6,55.0,56.5
2023-01-06T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.5%,3.7%,3.7%
2023-01-06T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.4%,0.4%
2023-01-06T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,223K,200K,256K
2023-01-10T17:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2023-01-12T00:00:00+03:30,CPI m/m,High Impact Expected,-0.1%,-0.1%,0.1%
2023-01-12T00:00:00+03:30,CPI y/y,High Impact Expected,6.5%,6.5%,7.1%
2023-01-12T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.3%,0.3%,0.2%
2023-01-13T18:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,64.6,60.8,59.7
2023-01-17T00:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,-32.9,-8.7,-11.2
2023-01-18T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-1.1%,-0.8%,-1.0%
2023-01-18T00:00:00+03:30,Core PPI m/m,High Impact Expected,0.1%,0.1%,0.2%
2023-01-18T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-1.1%,-0.5%,-0.6%
2023-01-18T00:00:00+03:30,PPI m/m,High Impact Expected,-0.5%,-0.1%,0.2%
2023-01-24T18:15:00+03:30,Flash Services PMI,High Impact Expected,46.6,45.3,44.7
2023-01-26T17:00:00+03:30,Advance GDP q/q,High Impact Expected,2.9%,2.6%,3.2%
2023-01-27T17:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.3%,0.2%
2023-01-31T18:30:00+03:30,CB Consumer Confidence,High Impact Expected,107.1,109.1,109.0
2023-02-01T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,11.01M,10.28M,10.44M
2023-02-01T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2023-02-01T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,106K,176K,253K
2023-02-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,47.4,48.0,48.4
2023-02-01T22:30:00+03:30,Federal Funds Rate,High Impact Expected,4.75%,4.75%,4.50%
2023-02-01T23:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2023-02-03T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,517K,193K,260K
2023-02-03T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.4%,3.6%,3.5%
2023-02-03T17:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.3%,0.4%
2023-02-03T18:30:00+03:30,ISM Services PMI,High Impact Expected,55.2,50.5,49.6
2023-02-07T21:10:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2023-02-08T17:45:00+03:30,FOMC Member Williams Speaks,High Impact Expected,,,
2023-02-10T18:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,66.4,65.0,64.9
2023-02-14T00:00:00+03:30,CPI m/m,High Impact Expected,0.5%,0.5%,-0.1%
2023-02-14T00:00:00+03:30,CPI y/y,High Impact Expected,6.4%,6.2%,6.5%
2023-02-14T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.4%,0.4%,0.3%
2023-02-15T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,2.3%,0.9%,-0.9%
2023-02-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,3.0%,1.9%,-1.1%
2023-02-15T00:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,-5.8,-18.2,-32.9
2023-02-16T00:00:00+03:30,PPI m/m,High Impact Expected,0.7%,0.4%,-0.2%
2023-02-16T17:00:00+03:30,Core PPI m/m,High Impact Expected,0.5%,0.3%,0.3%
2023-02-21T00:00:00+03:30,Flash Services PMI,High Impact Expected,50.5,47.3,46.8
2023-02-22T22:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2023-02-23T00:00:00+03:30,Prelim GDP q/q,High Impact Expected,2.7%,2.9%,2.9%
2023-02-24T17:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.6%,0.4%,0.4%
2023-02-28T18:30:00+03:30,CB Consumer Confidence,High Impact Expected,102.9,108.5,106.0
2023-03-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,47.7,47.9,47.4
2023-03-03T18:30:00+03:30,ISM Services PMI,High Impact Expected,55.1,54.5,55.2
2023-03-07T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2023-03-08T00:00:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2023-03-08T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,10.82M,10.58M,11.23M
2023-03-08T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,242K,197K,119K
2023-03-10T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.6%,3.4%,3.4%
2023-03-10T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.2%,0.3%,0.3%
2023-03-10T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,311K,224K,504K
2023-03-13T01:50:00+03:30,Fed Announcement,High Impact Expected,,,
2023-03-14T00:00:00+03:30,CPI m/m,High Impact Expected,0.4%,0.4%,0.5%
2023-03-14T00:00:00+03:30,CPI y/y,High Impact Expected,6.0%,6.0%,6.4%
2023-03-14T00:00:00+03:30,Core CPI m/m,High Impact Expected,0.5%,0.4%,0.4%
2023-03-15T00:00:00+03:30,PPI m/m,High Impact Expected,-0.1%,0.3%,0.3%
2023-03-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-0.4%,-0.3%,3.2%
2023-03-15T00:00:00+03:30,Empire State Manufacturing Index,High Impact Expected,-24.6,-7.9,-5.8
2023-03-15T00:00:00+03:30,Core PPI m/m,High Impact Expected,0.0%,0.4%,0.1%
2023-03-15T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-0.1%,-0.1%,2.4%
2023-03-16T00:00:00+03:30,Unemployment Claims,High Impact Expected,192K,205K,212K
2023-03-17T17:30:00+03:30,Prelim UoM Consumer Sentiment,High Impact Expected,63.4,66.9,67.0
2023-03-20T00:30:00+03:30,Fed Announcement,High Impact Expected,,,
2023-03-22T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2023-03-22T00:00:00+04:30,FOMC Economic Projections,High Impact Expected,,,
2023-03-22T21:30:00+04:30,Federal Funds Rate,High Impact Expected,5.00%,5.00%,4.75%
2023-03-22T22:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2023-03-23T16:00:00+04:30,Unemployment Claims,High Impact Expected,191K,198K,192K
2023-03-24T00:00:00+04:30,Flash Services PMI,High Impact Expected,53.8,50.3,50.6
2023-03-24T17:15:00+04:30,Flash Manufacturing PMI,High Impact Expected,49.3,47.0,47.3
2023-03-28T17:30:00+04:30,CB Consumer Confidence,High Impact Expected,104.2,101.0,103.4
2023-03-30T00:00:00+04:30,Unemployment Claims,High Impact Expected,198K,196K,191K
2023-03-30T16:00:00+04:30,Final GDP q/q,High Impact Expected,2.6%,2.7%,2.7%
2023-03-31T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.4%,0.5%
2023-04-03T17:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,46.3,47.5,47.7
2023-04-04T17:30:00+04:30,JOLTS Job Openings,High Impact Expected,9.93M,10.49M,10.56M
2023-04-05T15:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,145K,208K,261K
2023-04-05T17:30:00+04:30,ISM Services PMI,High Impact Expected,51.2,54.3,55.1
2023-04-06T00:00:00+04:30,Unemployment Claims,High Impact Expected,228K,200K,246K
2023-04-07T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,236K,228K,326K
2023-04-07T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.5%,3.6%,3.6%
2023-04-07T16:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.3%,0.2%
2023-04-12T00:00:00+04:30,CPI y/y,High Impact Expected,5.0%,5.1%,6.0%
2023-04-12T00:00:00+04:30,CPI m/m,High Impact Expected,0.1%,0.2%,0.4%
2023-04-12T16:00:00+04:30,Core CPI m/m,High Impact Expected,0.4%,0.4%,0.5%
2023-04-12T21:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2023-04-13T00:00:00+04:30,PPI m/m,High Impact Expected,-0.5%,0.0%,0.0%
2023-04-13T00:00:00+04:30,Unemployment Claims,High Impact Expected,239K,233K,228K
2023-04-13T16:00:00+04:30,Core PPI m/m,High Impact Expected,-0.1%,0.2%,0.2%
2023-04-14T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,-0.8%,-0.4%,0.0%
2023-04-14T00:00:00+04:30,Retail Sales m/m,High Impact Expected,-1.0%,-0.4%,-0.2%
2023-04-14T17:30:00+04:30,Prelim UoM Consumer Sentiment,High Impact Expected,63.5,62.0,62.0
2023-04-17T00:00:00+04:30,Empire State Manufacturing Index,High Impact Expected,10.8,-17.7,-24.6
2023-04-20T16:00:00+04:30,Unemployment Claims,High Impact Expected,245K,240K,240K
2023-04-21T00:00:00+04:30,Flash Services PMI,High Impact Expected,53.7,51.5,52.6
2023-04-21T17:15:00+04:30,Flash Manufacturing PMI,High Impact Expected,50.4,49.0,49.2
2023-04-25T17:30:00+04:30,CB Consumer Confidence,High Impact Expected,101.3,104.1,104.0
2023-04-27T00:00:00+04:30,Unemployment Claims,High Impact Expected,230K,247K,246K
2023-04-27T16:00:00+04:30,Advance GDP q/q,High Impact Expected,1.1%,2.0%,2.6%
2023-04-28T00:00:00+04:30,Employment Cost Index q/q,High Impact Expected,1.2%,1.1%,1.0%
2023-04-28T00:00:00+04:30,Core PCE Price Index m/m,High Impact Expected,0.3%,0.3%,0.3%
2023-05-01T17:30:00+04:30,ISM Manufacturing PMI,High Impact Expected,47.1,46.8,46.3
2023-05-02T17:30:00+04:30,JOLTS Job Openings,High Impact Expected,9.59M,9.74M,9.97M
2023-05-03T00:00:00+04:30,FOMC Statement,High Impact Expected,,,
2023-05-03T15:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,296K,148K,142K
2023-05-03T17:30:00+04:30,ISM Services PMI,High Impact Expected,51.9,51.8,51.2
2023-05-03T21:30:00+04:30,Federal Funds Rate,High Impact Expected,5.25%,5.25%,5.00%
2023-05-03T22:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2023-05-04T00:00:00+04:30,Unemployment Claims,High Impact Expected,242K,239K,229K
2023-05-05T00:00:00+04:30,Unemployment Rate,High Impact Expected,3.4%,3.6%,3.5%
2023-05-05T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,253K,181K,165K
2023-05-05T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.5%,0.3%,0.3%
2023-05-10T00:00:00+04:30,Core CPI m/m,High Impact Expected,0.4%,0.3%,0.4%
2023-05-10T00:00:00+04:30,CPI y/y,High Impact Expected,4.9%,5.0%,5.0%
2023-05-10T00:00:00+04:30,CPI m/m,High Impact Expected,0.4%,0.4%,0.1%
2023-05-11T00:00:00+04:30,Unemployment Claims,High Impact Expected,264K,245K,242K
2023-05-11T00:00:00+04:30,PPI m/m,High Impact Expected,0.2%,0.3%,-0.4%
2023-05-11T16:00:00+04:30,Core PPI m/m,High Impact Expected,0.2%,0.2%,0.0%
2023-05-12T17:30:00+04:30,Prelim UoM Consumer Sentiment,High Impact Expected,57.7,63.0,63.5
2023-05-15T16:00:00+04:30,Empire State Manufacturing Index,High Impact Expected,-31.8,-3.7,10.8
